,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
0,Zack Snyder's Justice League,(2021),R,242 min,"Action, Adventure, Fantasy",8.1,54,"311,293"
1,Aspirants,(2021– ),Not Available,45 min,Drama,9.7,Not Available,"273,341"
2,WandaVision,(2021),TV-PG,350 min,"Action, Comedy, Drama",8.0,Not Available,"193,223"
3,Radhe,(2021),TV-MA,135 min,"Action, Crime, Thriller",1.8,Not Available,"164,166"
4,Godzilla vs. Kong,(2021),PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59,"151,856"
5,Army of the Dead,(2021),R,148 min,"Action, Crime, Horror",5.8,57,"126,475"
6,The Falcon and the Winter Soldier,(2021),TV-14,50 min,"Action, Adventure, Drama",7.4,Not Available,"125,620"
7,Mortal Kombat,(2021),R,110 min,"Action, Adventure, Fantasy",6.2,44,"121,038"
8,Nobody,(I) (2021),R,92 min,"Action, Crime, Drama",7.4,64,"120,076"
9,Raya and the Last Dragon,(2021),PG,107 min,"Animation, Action, Adventure",7.4,75,"93,684"
10,Cruella,(2021),PG-13,134 min,"Comedy, Crime",7.4,59,"89,300"
11,The Tomorrow War,(2021),PG-13,140 min,"Action, Adventure, Drama",6.7,45,"81,768"
12,Lupin,(2021– ),TV-MA,45 min,"Action, Crime, Drama",7.5,Not Available,"79,311"
13,Loki,(2021– ),TV-14,Not Available,"Action, Adventure, Fantasy",8.9,Not Available,"75,481"
14,Invincible,(2021– ),TV-MA,364 min,"Animation, Action, Adventure",8.8,Not Available,"73,201"
15,Wrath of Man,(2021),R,119 min,"Action, Crime, Thriller",7.2,57,"72,231"
16,Mare of Easttown,(2021),TV-MA,410 min,"Crime, Drama, Mystery",8.5,Not Available,"70,480"
17,The Little Things,(2021),R,128 min,"Crime, Drama, Mystery",6.3,54,"66,082"
18,The Mitchells vs the Machines,(2021),PG,113 min,"Animation, Adventure, Comedy",7.7,80,"65,344"
19,The Conjuring: The Devil Made Me Do It,(2021),R,112 min,"Horror, Mystery, Thriller",6.3,53,"63,258"
20,Black Widow,(2021),PG-13,133 min,"Action, Adventure, Sci-Fi",7.0,68,"61,664"
21,Master,(2021),Not Rated,179 min,"Action, Thriller",7.9,Not Available,"60,647"
22,Coming 2 America,(2021),PG-13,110 min,Comedy,5.3,52,"59,004"
23,The Dig,(2021),PG-13,112 min,"Biography, Drama, History",7.1,73,"58,941"
24,Luca,(2021),PG,95 min,"Animation, Adventure, Comedy",7.5,71,"57,657"
25,Shadow and Bone,(2021– ),TV-14,Not Available,"Action, Adventure, Drama",7.7,Not Available,"57,330"
26,Tandav,(2021– ),TV-14,30 min,"Drama, Thriller",3.8,Not Available,"55,531"
